epoch,loss_G,loss_D,loss_G_adv,loss_G_l1,val_loss_G,val_psnr,epoch_time_s,lr_G,lr_D
70,4.9094,0.1199,0.6615,4.2479,7.3445,22.66,558.9,0.000060,0.000060
71,4.9130,0.1149,0.6737,4.2393,7.3235,22.75,559.5,0.000058,0.000058
72,4.9108,0.1135,0.6808,4.2301,7.2857,22.82,559.0,0.000056,0.000056
73,4.8891,0.1147,0.6702,4.2188,7.3330,22.73,559.0,0.000054,0.000054
74,4.8836,0.1199,0.6711,4.2125,7.4558,22.59,558.5,0.000052,0.000052
75,4.8732,0.1108,0.6711,4.2021,7.3600,22.70,559.1,0.000050,0.000050
76,4.8628,0.1117,0.6715,4.1913,7.4228,22.63,558.9,0.000048,0.000048
77,4.8633,0.1107,0.6777,4.1857,7.3769,22.71,559.1,0.000046,0.000046
78,4.8578,0.1088,0.6824,4.1755,7.3666,22.69,558.9,0.000044,0.000044
79,4.8660,0.1056,0.6928,4.1732,7.3193,22.75,559.0,0.000042,0.000042
80,4.8495,0.1074,0.6860,4.1635,7.3093,22.77,559.0,0.000040,0.000040
81,4.8546,0.1023,0.6986,4.1560,7.3756,22.68,559.1,0.000038,0.000038
82,4.8572,0.0998,0.7060,4.1512,7.3191,22.72,559.3,0.000036,0.000036
83,4.8524,0.0995,0.7043,4.1481,7.2810,22.80,559.4,0.000034,0.000034
84,4.8333,0.1010,0.6997,4.1337,7.3430,22.69,559.1,0.000032,0.000032
85,4.8311,0.0984,0.7079,4.1232,7.3450,22.70,559.0,0.000030,0.000030
86,4.8277,0.0963,0.7071,4.1206,7.3538,22.68,558.9,0.000028,0.000028
87,4.8119,0.0966,0.7010,4.1110,7.3271,22.75,559.3,0.000026,0.000026
88,4.8197,0.0935,0.7075,4.1122,7.3188,22.75,558.9,0.000024,0.000024
89,4.8011,0.0937,0.6975,4.1035,7.3451,22.71,558.8,0.000022,0.000022
90,4.8024,0.0917,0.7073,4.0951,7.2976,22.79,558.9,0.000020,0.000020
91,4.8026,0.0904,0.7112,4.0913,7.2801,22.80,559.5,0.000018,0.000018
92,4.7985,0.0879,0.7117,4.0868,7.3122,22.79,559.1,0.000016,0.000016
93,4.7917,0.0869,0.7104,4.0813,7.2940,22.81,559.2,0.000014,0.000014
94,4.7862,0.0855,0.7117,4.0745,7.3077,22.79,559.0,0.000012,0.000012
95,4.7851,0.0843,0.7137,4.0714,7.3626,22.72,558.7,0.000010,0.000010
96,4.7789,0.0837,0.7097,4.0692,7.3776,22.69,558.9,0.000008,0.000008
97,4.7745,0.0823,0.7098,4.0647,7.3768,22.67,559.0,0.000006,0.000006
98,4.7710,0.0808,0.7115,4.0596,7.3364,22.73,559.4,0.000004,0.000004
99,4.7651,0.0797,0.7066,4.0585,7.3264,22.75,558.8,0.000002,0.000002
100,4.7593,0.0789,0.7034,4.0559,7.3374,22.76,559.0,0.000000,0.000000
